name,person,color,soil,wash_instr,dry_instr
basket/1_sock.txt,mother,yellow,4,warm,low
basket/2_sock.txt,mother,yellow,4,warm,low
basket/3_shirt.txt,father,red,2,warm,low
basket/4_jeans.txt,sister,blue,5,cold,air
basket/5_hat.txt,brother,green,3,warm,low
basket/6_shirt.txt,mother,green,2,warm,low
basket/7_mitten.txt,brother,white,4,warm,low
basket/8_mitten.txt,brother,white,4,warm,low
basket/9_scarf.txt,sister,purple,2,warm,low
basket/10_sock.txt,brother,brown,5,warm,low
basket/11_sock.txt,brother,brown,5,warm,low
basket/12_dress.txt,mother,pink,3,cold,air
basket/13_jacket.txt,father,orange,2,cold,low
basket/14_pants.txt,sister,gray,1,cold,low
basket/15_sweater.txt,brother,navy,4,cold,low
basket/16_skirt.txt,sister,teal,2,warm,low
basket/17_shirt.txt,father,red,1,cold,low
basket/18_shirt.txt,mother,blue,1,cold,low
basket/19_sock.txt,sister,crimson,2,warm,low
basket/20_sock.txt,sister,crimson,2,warm,low
basket/21_shorts.txt,mother,khaki,1,warm,low
basket/22_sock.txt,sister,blue,4,warm,low
basket/23_mittens.txt,sister,mustard,3,warm,low
basket/24_swimsuit.txt,sister,yellow,2,warm,low
basket/25_swimsuit.txt,brother,coral,2,warm,low
basket/26_hoodie.txt,mother,burgundy,5,cold,low
basket/27_shirt_26.txt,father,lime,1,cold,air
basket/28_leggings.txt,brother,indigo,3,cold,low
basket/29_scarf.txt,mother,cream,2,warm,low
basket/30_hat.txt,father,mint,5,warm,low
basket/31_jacket.txt,sister,olive,1,cold,low
basket/32_shirt.txt,brother,magenta,4,cold,low
basket/33_pants.txt,mother,chartreuse,3,warm,low
basket/34_jeans.txt,father,denim,2,cold,low
basket/35_jeans.txt,brother,denim,2,cold,low
basket/36_jeans.txt,sister,denim,5,cold,low
basket/37_dress.txt,mother,peach,4,cold,air
basket/38_shirt.txt,father,white,2,cold,low
basket/39_jeans.txt,father,denim,2,cold,low
basket/40_shirt.txt,brother,green,2,warm,low
basket/41_cardigan.txt,mother,almond,1,cold,air
basket/42_glove.txt,father,azure,4,warm,low
basket/43_glove.txt,father,azure,4,warm,low
basket/44_socks.txt,sister,mint,3,warm,low
basket/45_socks.txt,sister,mint,3,warm,low
basket/46_hat.txt,sister,walnut,4,warm,low
basket/47_scarf.txt,brother,ginger,3,warm,low
basket/48_shorts.txt,mother,sand,2,warm,low
basket/49_shorts.txt,brother,red,3,warm,low
basket/50_shorts.txt,sister,white,1,cold,air
